col1,col2,col3,col4 
_LK0525-1_LK0525-2_LK0525-3_LK0525-4_LK0525-5_LK0525-6_LK0525-7_LK0525-8______________,2018-02-22,L896-11+,L8027D
_LK0508-1_LK0508-2____________________,2018-02-21,L899-5+,L7812D
_LK0507-1_LK0507-2_LK0507-3_LK0507-4_LK0507-5_LK0507-6________________,2018-02-21,L1420-7+,L7568D
__,2018-02-20,Y5729D+,YJ0097-1
_LK0499-1_____________________,2018-02-20,L1420-7+,LJ0184-3
_LK0471-1_LK0471-2_LK0471-3_LK0471-4_LK0471-1+_LK0471-2+_LK0471-3+_______________,2018-02-17,L7066D+,L5266D
_LK0474-1_LK0474-2_LK0474-3_LK0474-4_LK0474-5_LK0474-6_LK0474-1+_LK0474-2+_LK0474-3+_LK0474-4+_LK0474-5+_LK0474-6+__________,2018-02-17,L4868D+,L7912D
_LK0469-1_LK0469-2_LK0469-3___________________,2018-02-17,L7066D+,L8214D
_YK0464-3_YK0464-1_YK0464-2_YK0464-4_YK0464-5_YK0464-6_YK0464-7_YK0464-1+_YK0464-2+_YK0464-4+_YK0464-5+_YK0464-6+_YK0464-3+_________,2018-02-17,Y6023D+,Y3770D
_LK0473-1_LK0473-2_LK0473-3_LK0473-4_LK0473-5_LK0473-6_LK0473-1+_LK0473-2+_LK0473-3+_LK0473-4+_LK0473-5+_LK0473-6+__________,2018-02-17,L4868D+,L7745D
_LK0475-1_LK0475-2_LK0475-3_LK0475-1+_LK0475-2+_LK0475-3+_LK0475-4+_LK0475-5+_LK0475-6+_LK0475-7+____________,2018-02-17,L7760D+,L7803D
_LK0459-1_LK0459-2_LK0459-3_LK0459-4_LK0459-5_LK0459-6________________,2018-02-16,L7066D+,L5253D
_LK0458-1_LK0458-2_LK0458-3_LK0458-4_LK0458-5_LK0458-6_LK0458-7_______________,2018-02-16,L7094D+,L7975D
_YK0457-1_YK0457-2_YK0457-3_YK0457-4_YK0457-5_________________,2018-02-16,Y6023D+,Y11438D
_LK0450-1_LK0450-2_LK0450-3___________________,2018-02-15,L7066D+,L8321D
